Unnamed: 0,Tweets,id,len,date,source,likes,retweets,cleaned_tweet,processed_tweet,extracted_locations,primary_location,crime_category,security_level
13,"From parades in Manhattan to Marathons in Brooklyn, there is alot happening in NYC this weekend. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK https://t.co/jkZ1skEwvp",1517628071762878464,226,2022-04-22 22:15:03+00:00,Hootsuite Inc.,50,14,from parades in manhattan to marathons in brooklyn there is alot happening in nyc this weekend stay one step ahead of the traffic by checking out our weekend traffic advisory,parades manhattan marathons brooklyn alot happening nyc weekend stay one step ahead traffic checking weekend traffic advisory,"['Manhattan', 'Brooklyn']",Manhattan,traffic_incident,low
14,"This week in the Edenwald Houses, ten bikes / ATVs were seized for reckless driving, unregistered or uninsured. ATVs and Dirt bikes are illegal on all streets and sidewalks in New York City. https://t.co/7iXTb75APz",1517609262050119680,214,2022-04-22 21:00:18+00:00,Hootsuite Inc.,153,30,this week in the edenwald houses ten bikes atvs were seized for reckless driving unregistered or uninsured atvs and dirt bikes are illegal on all streets and sidewalks in new york city,week edenwald houses ten bikes atvs seized reckless driving unregistered uninsured atvs dirt bikes illegal streets sidewalks new york city,['Unknown'],Unknown,traffic_incident,low
15,Happy Earth Day! @NYCParks has space throughout every borough for all New Yorkers to get outside and enjoy. https://t.co/uaBVwjyOGv,1517594152611024901,131,2022-04-22 20:00:16+00:00,Hootsuite Inc.,30,10,happy earth day has space throughout every borough for all new yorkers to get outside and enjoy,happy earth day space throughout every borough new yorkers get outside enjoy,['Unknown'],Unknown,other,unknown
16,"After a Tuesday afternoon shootout on Linden Blvd in Queens, detectives from the @NYPD113Pct  immediately went to work on the case. Today, an 18-year-old was arrested and charged for that shooting, and this cache of guns and armored vests were recovered. https://t.co/6xivn7QEZP",1517576270363639811,278,2022-04-22 18:49:12+00:00,Twitter Web App,90,16,after a tuesday afternoon shootout on linden blvd in queens detectives from the immediately went to work on the case today an yearold was arrested and charged for that shooting and this cache of guns and armored vests were recovered,tuesday afternoon shootout linden blvd queens detectives immediately went work case today yearold arrested charged shooting cache guns armored vests recovered,['Queens'],Queens,violent_crime,high
17,"The warmer weather typically brings out the dirt bikes and ATVs across NYC. Just remember, they are illegal on all New York City roadways and sidewalks. https://t.co/YiRGIRwXG9",1517549096281772032,176,2022-04-22 17:01:13+00:00,Hootsuite Inc.,151,39,the warmer weather typically brings out the dirt bikes and atvs across nyc just remember they are illegal on all new york city roadways and sidewalks,warmer weather typically brings dirt bikes atvs across nyc remember illegal new york city roadways sidewalks,['Unknown'],Unknown,other,unknown
18,"BROOKLYN: Plan ahead for street closures and detours this Sunday 4/24 for the Brooklyn Marathon. 

For more information visit https://t.co/mure3ZG2Tv https://t.co/d9ZciJPHVh",1517530839814451202,173,2022-04-22 15:48:41+00:00,Twitter Web App,18,16,brooklyn plan ahead for street closures and detours this sunday for the brooklyn marathon for more information visit,brooklyn plan ahead street closures detours sunday brooklyn marathon information visit,['Brooklyn'],Brooklyn,other,unknown
19,"🚨WANTED for a FORCIBLE TOUCHING: Do you know him? On 4/21/22 at 11:47 AM, inside the New Utrecht subway station, the suspect proceeded to touch a 17-year-old female's thighs before fleeing.  Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/p62X9MPXty",1517503726331772928,277,2022-04-22 14:00:56+00:00,Hootsuite Inc.,45,55,wanted for a forcible touching do you know him on at am inside the new utrecht subway station the suspect proceeded to touch a yearold females thighs before fleeing have any info dm or anonymously call tips,wanted forcible touching know inside new utrecht subway station suspect proceeded touch yearold females thighs fleeing info anonymously call tips,['Unknown'],Unknown,other,unknown
20,"Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Q45ct435Ly",1517480870680088579,274,2022-04-22 12:30:07+00:00,Hootsuite Inc.,39,16,cash for guns with no questions asked april praise tabernacle church sutphin boulevard am to pm prepaid cards amp ipads for handguns amp assault rifles for rifles shotguns and airguns,cash guns questions asked april praise tabernacle church sutphin boulevard prepaid cards amp ipads handguns amp assault rifles rifles shotguns airguns,['Queens'],Queens,violent_crime,high
21,Who let the dogs out? https://t.co/r7y0FysHjq,1517458499009196033,45,2022-04-22 11:01:13+00:00,Hootsuite Inc.,525,45,who let the dogs out,let dogs,['Unknown'],Unknown,other,unknown
22,"🚨WANTED for a SEX ABUSE: Recognize him? On 4/21/22 at 7 AM, inside the Cortlandt St subway station, the suspect rubbed a 22-year-old woman's thigh, exposed his penis &amp; masturbated. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS https://t.co/zz3pnNCDPD",1517311323918512128,270,2022-04-22 01:16:24+00:00,Twitter Web App,58,73,wanted for a sex abuse recognize him on at am inside the cortlandt st subway station the suspect rubbed a yearold womans thigh exposed his penis amp masturbated have any info dm or anonymously call tips,wanted sex abuse recognize inside cortlandt subway station suspect rubbed yearold womans thigh exposed penis amp masturbated info anonymously call tips,['Unknown'],Unknown,other,unknown
23,"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class tomorrow at https://t.co/iVF1D88gei https://t.co/NaGCExhpwO",1517284547368419328,249,2022-04-21 23:30:00+00:00,Twitter Web App,28,12,are you in college and thinking about a career in law enforcement become an nypd cadet competitive pay flexible schedule tuition reimbursement register for the next orientation class tomorrow at,college thinking career law enforcement become nypd cadet competitive pay flexible schedule tuition reimbursement register next orientation class tomorrow,['Unknown'],Unknown,other,unknown
24,"NYC is undoubtedly safer thanks to our @NYPDDetectives from the Major Case Field Intelligence Team. While conducting a search warrant, detectives recovered a cache of firearm lower receivers, high capacity magazines, ammo, a rapid-fire device, &amp; a completed ghost gun. https://t.co/bcSxgbD17B",1517261938346139654,296,2022-04-21 22:00:10+00:00,Hootsuite Inc.,187,20,nyc is undoubtedly safer thanks to our from the major case field intelligence team while conducting a search warrant detectives recovered a cache of firearm lower receivers high capacity magazines ammo a rapidfire device amp a completed ghost gun,nyc undoubtedly safer thanks major case field intelligence team conducting search warrant detectives recovered cache firearm lower receivers high capacity magazines ammo rapidfire device amp completed ghost gun,['Unknown'],Unknown,violent_crime,high
25,"Newly appointed honorary NYPD Officer DJ was sworn in yesterday and took a trip around NYC to check out the specialized units within the department. 

Watch more as @KatieLusso reports on DJ's special visit. https://t.co/uD9JzSMC3p",1517231949848498178,231,2022-04-21 20:01:00+00:00,Twitter Media Studio,84,25,newly appointed honorary nypd officer dj was sworn in yesterday and took a trip around nyc to check out the specialized units within the department watch more as reports on djs special visit,newly appointed honorary nypd officer sworn yesterday took trip around nyc check specialized units within department watch reports djs special visit,['Unknown'],Unknown,other,unknown
26,"RT @NYPD23Pct: Just out of jail &amp; loaded with meth, a man went on a rampage thru the #UES &amp; #EastHarlem, serially attacking 5 people with a…",1517211132515205121,148,2022-04-21 18:38:17+00:00,Twitter Web App,0,15,rt just out of jail amp loaded with meth a man went on a rampage thru the ues amp eastharlem serially attacking people with a,jail amp loaded meth man went rampage thru ues amp eastharlem serially attacking people,['Manhattan'],Manhattan,violent_crime,high
27,"Below is the knife recovered at the scene, believed to be the weapon used during the crime. https://t.co/I1fgJWLGcV",1517180002747494408,115,2022-04-21 16:34:35+00:00,Twitter for iPhone,22,6,below is the knife recovered at the scene believed to be the weapon used during the crime,knife recovered scene believed weapon used crime,['Unknown'],Unknown,violent_crime,high
28,Watch as @NYPDDetectives Chief James Essig provides an update in an arrest regarding the death of Orsolya Gaal. https://t.co/FvK8g6lJda,1517163794933313536,135,2022-04-21 15:30:10+00:00,Periscope,65,54,watch as chief james essig provides an update in an arrest regarding the death of orsolya gaal,watch chief james essig provides update arrest regarding death orsolya gaal,['Unknown'],Unknown,other,unknown
29,#HappeningSoon: @NYPDDetectives will provide an update to an ongoing investigation. https://t.co/kE1zzs4YIU,1517159624444633088,107,2022-04-21 15:13:36+00:00,Twitter for iPhone,18,7,happeningsoon will provide an update to an ongoing investigation,happeningsoon provide update ongoing investigation,['Unknown'],Unknown,other,unknown
30,"RT @NYPDSpecialops: Early this morning, @NYPDSpecialops rescued a male from a sinking boat in the v/o New Rochelle. Rescue swimmers were sa…",1517141174183636994,140,2022-04-21 14:00:17+00:00,Twitter Web App,0,44,rt early this morning rescued a male from a sinking boat in the vo new rochelle rescue swimmers were sa,early morning rescued male sinking boat new rochelle rescue swimmers,['Unknown'],Unknown,other,unknown
31,RT @NYPDPC: .@NYPDDetectives have arrested a 44-year-old man from Queens in regard to the death of Orsolya Gaal. He has been charged with m…,1517123397372854273,140,2022-04-21 12:49:39+00:00,Twitter Web App,0,45,rt have arrested a yearold man from queens in regard to the death of orsolya gaal he has been charged with m,arrested yearold man queens regard death orsolya gaal charged,['Queens'],Queens,other,unknown
32,"🚨WANTED for RECKLESS ENDANGERMENT: Do you know these guys? On 4/17/22 at approx. 4:26 PM, in front of 411 Beach 54 St in Queens, one suspect fired multiple shots at a group of individuals, then handed the gun to a second suspect. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/Lat78EgmNU",1517115873282207747,299,2022-04-21 12:19:45+00:00,Twitter Web App,56,37,wanted for reckless endangerment do you know these guys on at approx pm in front of beach st in queens one suspect fired multiple shots at a group of individuals then handed the gun to a second suspect any info dm or call tips,wanted reckless endangerment know guys approx front beach queens one suspect fired multiple shots group individuals handed gun second suspect info call tips,['Queens'],Queens,violent_crime,high
33,"🚨WANTED for a HOMICIDE: Have  you seen them? On 4/16/22 at 9:53 PM, in front of 117-09 Guys R. Brewer Blvd in Queens, the suspects approached a group of males and fired 15 gunshots that killed a 48-year-old man. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/lTpWkZTfJl",1516948582250778628,298,2022-04-21 01:15:00+00:00,Twitter Web App,69,67,wanted for a homicide have you seen them on at pm in front of guys r brewer blvd in queens the suspects approached a group of males and fired gunshots that killed a yearold man have any info dm or anonymously call tips,wanted homicide seen front guys brewer blvd queens suspects approached group males fired gunshots killed yearold man info anonymously call tips,['Queens'],Queens,violent_crime,high
34,RT @127Penn: Our Adopt-A-Cop initiative w/ PO Kinslow. He worked with our mentors &amp; showed them the basic fundamentals of cars &amp; discussed…,1516922948619231232,147,2022-04-20 23:33:08+00:00,Twitter Web App,0,11,rt our adoptacop initiative w po kinslow he worked with our mentors amp showed them the basic fundamentals of cars amp discussed,adoptacop initiative kinslow worked mentors amp showed basic fundamentals cars amp discussed,['Unknown'],Unknown,other,unknown
35,"Today, @NYCMayor &amp; @NYPDPC were joined by law enforcement officials in honoring the officers and civilians for their efforts after the subway shooting last week. Thanks to the collaborative work of these officers &amp; the assistance of the public, the suspect was arrested &amp; charged. https://t.co/FqLwxjQUaA",1516907077926535170,316,2022-04-20 22:30:04+00:00,Hootsuite Inc.,83,13,today amp were joined by law enforcement officials in honoring the officers and civilians for their efforts after the subway shooting last week thanks to the collaborative work of these officers amp the assistance of the public the suspect was arrested amp charged,today amp joined law enforcement officials honoring officers civilians efforts subway shooting last week thanks collaborative work officers amp assistance public suspect arrested amp charged,['Unknown'],Unknown,violent_crime,high
36,"Cash for Guns with @QueensDAKatz
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/7SMLVMp5el",1516884530757517314,273,2022-04-20 21:00:29+00:00,Twitter Web App,24,15,cash for guns with no questions asked april praise tabernacle church sutphin boulevard am to pm prepaid cards amp ipads for handguns amp assault rifles for rifles shotguns and airguns,cash guns questions asked april praise tabernacle church sutphin boulevard prepaid cards amp ipads handguns amp assault rifles rifles shotguns airguns,['Queens'],Queens,violent_crime,high
37,Join @NYCMayor and @NYPDPC as they honor police officers and civilians for their efforts after the subway shooting last week. https://t.co/ObL8djDabl,1516863640141328385,149,2022-04-20 19:37:28+00:00,Periscope,89,20,join and as they honor police officers and civilians for their efforts after the subway shooting last week,join honor police officers civilians efforts subway shooting last week,['Unknown'],Unknown,violent_crime,high
38,"Not only is that feat special, but DJ is also doing this all while being diagnosed with terminal cancer. 

Thank you DJ for lifting us up today with your positivity, and know that the NYPD stands with you in your fight. https://t.co/n9vjpOaGUe",1516837440060809221,243,2022-04-20 17:53:21+00:00,Twitter Web App,101,13,not only is that feat special but dj is also doing this all while being diagnosed with terminal cancer thank you dj for lifting us up today with your positivity and know that the nypd stands with you in your fight,feat special also diagnosed terminal cancer thank lifting today positivity know nypd stands fight,['Unknown'],Unknown,public_disturbance,low
39,"Today, we were honored to welcome 10-year-old DJ and his father to Police Headquarters to be sworn in by @NYPDPC as a part of his goal to take the oath for 100 police departments in 6 months. We are proud to say he easily met his goal, as we are number 387! https://t.co/30aLdJe0w4",1516837081393336324,281,2022-04-20 17:51:56+00:00,Twitter Media Studio,443,71,today we were honored to welcome yearold dj and his father to police headquarters to be sworn in by as a part of his goal to take the oath for police departments in months we are proud to say he easily met his goal as we are number,today honored welcome yearold father police headquarters sworn part goal take oath police departments months proud say easily met goal number,['Unknown'],Unknown,other,unknown
40,"While on his way home,  @NYPDDetectives Sgt. Schoefer recognized a man known for targeting seniors on the Upper West Side. With the help of the Commanding Officer of  @NYPD20Pct, Captain Zuber, the two apprehended the male after he tried to steal from another victim. https://t.co/CmjErZvala",1516816686057410566,291,2022-04-20 16:30:53+00:00,Twitter for iPhone,151,27,while on his way home sgt schoefer recognized a man known for targeting seniors on the upper west side with the help of the commanding officer of captain zuber the two apprehended the male after he tried to steal from another victim,way home sgt schoefer recognized man known targeting seniors upper west side help commanding officer captain zuber two apprehended male tried steal another victim,['Manhattan'],Manhattan,other,unknown
41,"Check out our Instagram stories as our Auxiliary officers answer your questions on this #VolunteerRecognitionDay.

👀👇
https://t.co/60EOmYeGuo https://t.co/zYxDkO4uyV",1516791503296860177,165,2022-04-20 14:50:49+00:00,Twitter Web App,26,4,check out our instagram stories as our auxiliary officers answer your questions on this volunteerrecognitionday,check instagram stories auxiliary officers answer questions volunteerrecognitionday,['Unknown'],Unknown,other,unknown
42,"The newest members of the NYPD recently graduated from the academy and are gearing up for their new roles in neighborhoods throughout NYC. These officers will be on your block, in your train station, and answering your calls for help, so be sure to say hello. https://t.co/szY34KfW6Q",1516777043039600647,283,2022-04-20 13:53:22+00:00,Twitter Web App,122,14,the newest members of the nypd recently graduated from the academy and are gearing up for their new roles in neighborhoods throughout nyc these officers will be on your block in your train station and answering your calls for help so be sure to say hello,newest members nypd recently graduated academy gearing new roles neighborhoods throughout nyc officers block train station answering calls help sure say hello,['Unknown'],Unknown,other,unknown
43,"Last night, Neighborhood Safety Officers from @NYPDPSA7 were on patrol in the Bronx when they stopped an individual carrying this loaded ghost gun. The suspect, a 15-year-old male, was quickly placed under arrest, helping to keep the community safe from gun violence. https://t.co/TsyJGmtaVC",1516766895562760194,291,2022-04-20 13:13:02+00:00,Twitter Web App,241,33,last night neighborhood safety officers from were on patrol in the bronx when they stopped an individual carrying this loaded ghost gun the suspect a yearold male was quickly placed under arrest helping to keep the community safe from gun violence,last night neighborhood safety officers patrol bronx stopped individual carrying loaded ghost gun suspect yearold male quickly placed arrest helping keep community safe gun violence,['Bronx'],Bronx,violent_crime,high
44,"🚨WANTED for ATTEMPTED ASSAULT: Know these guys? On 4/19/22 at approx. 12:30 PM, in front of 194-05 Linden Blvd in Queens, the suspects exchanged gunfire. One male fled in a silver Honda, the other fled in a black Acura. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/CXQNiWaeie",1516748710771892226,301,2022-04-20 12:00:47+00:00,Twitter Web App,130,86,wanted for attempted assault know these guys on at approx pm in front of linden blvd in queens the suspects exchanged gunfire one male fled in a silver honda the other fled in a black acura any info dm or anonymously call tips,wanted attempted assault know guys approx front linden blvd queens suspects exchanged gunfire one male fled silver honda fled black acura info anonymously call tips,['Queens'],Queens,violent_crime,high
45,RT @NYPDPC: Isaiah Metz has been apprehended and charged with assaulting two police officers. He will also be brought to justice in Pennsyl…,1516741332118786055,140,2022-04-20 11:31:27+00:00,Twitter Web App,0,34,rt isaiah metz has been apprehended and charged with assaulting two police officers he will also be brought to justice in pennsyl,isaiah metz apprehended charged assaulting two police officers also brought justice pennsyl,['Unknown'],Unknown,violent_crime,high
46,"🚨WANTED for a BURGLARY: Recognize him? On 4/17/22 at 11:30 PM, in the vicinity of Fresh Pond Rd &amp; 71st Ave in Queens, the suspect used a USPS key to open the mailboxes &amp; remove contents before fleeing in a gray SUV. Have any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/bKj1G7uXFN",1516590485690716162,298,2022-04-20 01:32:03+00:00,Twitter Web App,34,32,wanted for a burglary recognize him on at pm in the vicinity of fresh pond rd amp st ave in queens the suspect used a usps key to open the mailboxes amp remove contents before fleeing in a gray suv have any info dm or call tips,wanted burglary recognize vicinity fresh pond amp ave queens suspect used usps key open mailboxes amp remove contents fleeing gray suv info call tips,['Queens'],Queens,property_crime,moderate
47,"RT @NYPDPC: What an honor to drop the puck at @TheGarden! 

The “big thank you” goes to the @NYRangers though for their unwavering support…",1516579677401489410,139,2022-04-20 00:49:06+00:00,Twitter Web App,0,48,rt what an honor to drop the puck at the big thank you goes to the though for their unwavering support,honor drop puck big thank goes though unwavering support,['Unknown'],Unknown,other,unknown
48,UPDATE: The individual below has been arrested and charged for this crime. https://t.co/xNjFIyfArI,1516571844224200708,98,2022-04-20 00:17:58+00:00,Twitter Web App,178,51,update the individual below has been arrested and charged for this crime,update individual arrested charged crime,['Unknown'],Unknown,other,unknown
49,"When Officers Reisert &amp; Brown from the @NYPD42Pct responded to a 911 call of an unresponsive man who overdosed, they knew they needed to act fast. Equipped with naloxone, they administered 2 dosages to the person &amp; were able to save his life by successfully reviving him. https://t.co/ET5J0SvMRz",1516544682687348738,303,2022-04-19 22:30:03+00:00,Hootsuite Inc.,167,27,when officers reisert amp brown from the responded to a call of an unresponsive man who overdosed they knew they needed to act fast equipped with naloxone they administered dosages to the person amp were able to save his life by successfully reviving him,officers reisert amp brown responded call unresponsive man overdosed knew needed act fast equipped naloxone administered dosages person amp able save life successfully reviving,['Unknown'],Unknown,other,unknown
50,"RT @NYPDChiefPatrol: Last week, these officers celebrated their graduation from the Police Academy. Now they have begun working in precinct…",1516532854519439363,140,2022-04-19 21:43:02+00:00,Twitter Web App,0,17,rt last week these officers celebrated their graduation from the police academy now they have begun working in precinct,last week officers celebrated graduation police academy begun working precinct,['Unknown'],Unknown,violent_crime,high
51,"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class, April 22, at https://t.co/iVF1D8pRCS https://t.co/VqKo3JMeBy",1516507660434161670,251,2022-04-19 20:02:56+00:00,Twitter Web App,31,16,are you in college and thinking about a career in law enforcement become an nypd cadet competitive pay flexible schedule tuition reimbursement register for the next orientation class april at,college thinking career law enforcement become nypd cadet competitive pay flexible schedule tuition reimbursement register next orientation class april,['Unknown'],Unknown,other,unknown
52,"NYC: Do you know where Isaiah Metz, AKA Decklyn McBride, is? This morning, inside a shelter at 257 West 30 St in Manhattan, he assaulted 2 Regional Fugitive Task Force Officers attempting to take a male into custody for outstanding warrants. Have info? Call @NYPDTips 800577TIPS https://t.co/OHV0oaK3CD",1516455900567027715,302,2022-04-19 16:37:15+00:00,Twitter Web App,100,80,nyc do you know where isaiah metz aka decklyn mcbride is this morning inside a shelter at west st in manhattan he assaulted regional fugitive task force officers attempting to take a male into custody for outstanding warrants have info call tips,nyc know isaiah metz aka decklyn mcbride morning inside shelter west manhattan assaulted regional fugitive task force officers attempting take male custody outstanding warrants info call tips,['Manhattan'],Manhattan,violent_crime,high
53,RT @NYPD104Pct: Don’t count your 🐥🐓 before they hatch! Lieutenant Hellmer and your 104 NCO’s held a joint operation with @ASPCA and @NYCACC…,1516435207938879499,140,2022-04-19 15:15:02+00:00,Twitter Web App,0,22,rt dont count your before they hatch lieutenant hellmer and your ncos held a joint operation with and,dont count hatch lieutenant hellmer ncos held joint operation,['Unknown'],Unknown,other,unknown
54,UPDATE: All lanes have been reopened. https://t.co/aOCVoKCV9q https://t.co/8T5HoGWnCj,1516409359298932740,85,2022-04-19 13:32:19+00:00,Twitter Web App,15,4,update all lanes have been reopened,update lanes reopened,['Unknown'],Unknown,other,unknown
55,"🚨WANTED for ASSAULT: Do you know this guy? On 4/16/22 at approx 3:28 PM, on a BX12 bus in the vicinity of Bartow Ave and Edson Ave in the Bronx, the suspect spat at a 79-year-old male, then punched him in the face. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/A4ucHL9SUZ",1516401352976609286,284,2022-04-19 13:00:30+00:00,Hootsuite Inc.,41,41,wanted for assault do you know this guy on at approx pm on a bx bus in the vicinity of bartow ave and edson ave in the bronx the suspect spat at a yearold male then punched him in the face any info dm or call tips,wanted assault know guy approx bus vicinity bartow ave edson ave bronx suspect spat yearold male punched face info call tips,['Bronx'],Bronx,violent_crime,high
